#Size           ILS              IBS              RBS              ITS              RTS              FBS               JS   

100000      0.4883498        0.0001564        0.0001942        0.00012184       0.00014668       0.00019087       5.382e-05        
3116010     8.671624         0.00048894       0.00024845       0.00015868       0.00018138       0.00024372       5.422e-05        
6132020     14.04044         0.00022788       0.00026178       0.00016677       0.00017855       0.00036732       5.452e-05        
9148030     21.79521         0.00024593       0.00060713       0.00017551       0.00019338       0.00025979       5.366e-05        
12164040    28.31749         0.00022769       0.00049189       0.00016698       0.0001866        0.00025697       5.278e-05        
15180050    36.00777         0.00035091       0.00026143       0.00016447       0.00018426       0.00026757       5.128e-05        
18196060    46.87974         0.00024746       0.00028411       0.00017481       0.00066385       0.00030005       5.437e-05        
21212070    54.23122         0.00024235       0.0007238        0.00020072       0.00032939       0.00041088       5.685e-05        
24228080    75.59924         0.00024635       0.00028168       0.000184         0.0002042        0.00029584       5.402e-05        
27244090    88.97158         0.0002408        0.00027421       0.00017687       0.00019586       0.00028775       5.125e-05        
30260100    92.87226         0.00027399       0.00030576       0.00019348       0.00024749       0.00031309       5.644e-05        
33276110    110.3417         0.00024408       0.00027426       0.00017569       0.00019943       0.00041215       5.267e-05        
36292120    114.2623         0.00095342       0.00030304       0.00019591       0.00021023       0.00030608       5.575e-05        
39308130    119.397          0.00024822       0.00028217       0.00017286       0.00020094       0.00029748       5.253e-05        
42324140    121.7979         0.00025818       0.00040427       0.00018349       0.00020324       0.00031353       5.348e-05        
45340150    129.0438         0.00026381       0.00030314       0.00019023       0.00020998       0.00031533       5.538e-05        
48356160    137.3609         0.00038578       0.00042399       0.00019032       0.00022282       0.00030907       5.445e-05        
51372170    145.3888         0.00038334       0.00040682       0.00017995       0.00019613       0.00029785       5.18e-05         
54388180    154.0504         0.00025527       0.00028303       0.00018212       0.00019482       0.00029702       5.226e-05        
57404190    163.0204         0.00027783       0.00030598       0.00019261       0.00021577       0.00032212       5.574e-05        
60420200    185.333          0.00025056       0.00028353       0.0001753        0.00019619       0.00029631       5.305e-05        
63436210    148.3466         0.00025131       0.00028656       0.00017956       0.00019597       0.00064069       5.118e-05        
66452220    140.8754         0.0002595        0.0002878        0.00018779       0.0002087        0.00030222       5.268e-05        
69468230    157.6713         0.00026812       0.00030757       0.00019053       0.0002223        0.00085661       5.487e-05        
72484240    160.1388         0.0002545        0.00029236       0.00018973       0.00021368       0.00029866       5.09e-05         
75500250    170.8896         0.00026626       0.00029693       0.00018854       0.00021361       0.00030008       5.099e-05        
